datetime,maximum_2m_air_temperature,minimum_2m_air_temperature
2018-06-15,298.17437744140625,290.77734375
2018-06-16,301.0279235839844,290.537841796875
2018-06-17,300.93548583984375,289.94091796875
2018-06-18,299.81158447265625,291.4455261230469
2018-06-19,300.5221252441406,291.2388610839844
2018-06-20,302.9674072265625,290.1820983886719
2018-06-21,304.2143249511719,291.1486511230469
2018-06-22,305.6475524902344,291.5348205566406
2018-06-23,305.0003967285156,290.9734802246094
2018-06-24,304.12213134765625,291.37646484375
2018-06-25,301.037109375,292.74609375
2018-06-26,300.5041809082031,290.8409118652344
2018-06-27,301.708984375,290.0714111328125
2018-06-28,306.559326171875,288.2687683105469
2018-06-29,309.74322509765625,292.7634582519531
2018-06-30,314.7694396972656,294.30706787109375
2018-07-01,312.35418701171875,295.48516845703125
2018-07-02,308.15289306640625,295.30615234375
2018-07-03,308.99139404296875,294.98455810546875
2018-07-04,314.6612854003906,295.8380126953125
2018-07-05,307.71600341796875,297.307373046875
2018-07-06,304.3289794921875,294.756591796875
2018-07-07,306.9562683105469,293.0682067871094
2018-07-08,308.5916748046875,294.56549072265625
2018-07-09,305.7958679199219,294.4982604980469
2018-07-10,306.0213928222656,293.4674377441406
2018-07-11,309.91949462890625,293.8999328613281
2018-07-12,313.5871887207031,297.4391784667969
2018-07-13,316.09051513671875,298.031982421875
2018-07-14,308.9173583984375,296.43487548828125
2018-07-15,312.040283203125,294.6626281738281
2018-07-16,309.71759033203125,297.4324951171875
2018-07-17,305.1553649902344,295.39678955078125
2018-07-18,309.73931884765625,293.3045959472656
2018-07-19,309.5143127441406,297.0349426269531
2018-07-20,311.5727233886719,296.1573486328125
2018-07-21,314.9341125488281,298.8531188964844
2018-07-22,309.1618347167969,298.0365905761719
2018-07-23,304.5505065917969,293.84222412109375
2018-07-24,305.0254821777344,292.09112548828125
2018-07-25,308.0677490234375,291.3206787109375
2018-07-26,309.30108642578125,295.09478759765625
2018-07-27,309.9486083984375,295.5602722167969
2018-07-28,310.94354248046875,297.0511474609375
2018-07-29,311.12774658203125,297.1439514160156
2018-07-30,308.6248779296875,295.1749267578125
2018-07-31,308.2710266113281,293.40228271484375
2018-08-01,308.6075744628906,294.06317138671875
2018-08-02,309.3386535644531,295.639404296875
2018-08-03,309.0493469238281,296.60406494140625
2018-08-04,304.6321105957031,295.2433776855469
2018-08-05,304.2633361816406,293.74188232421875
2018-08-06,303.253173828125,295.2287902832031
2018-08-07,301.6929931640625,295.29095458984375
2018-08-08,306.3564147949219,293.918701171875
2018-08-09,308.25860595703125,294.89874267578125
2018-08-10,308.775390625,296.85198974609375
2018-08-11,307.7021179199219,297.2126159667969
2018-08-12,307.2903137207031,296.404052734375
2018-08-13,305.55450439453125,295.8419494628906
2018-08-14,308.2966003417969,294.7838134765625
2018-08-15,302.98992919921875,295.20269775390625
2018-08-16,304.26800537109375,293.5001220703125
2018-08-17,305.62969970703125,293.4610290527344
2018-08-18,304.45538330078125,293.5227966308594
2018-08-19,303.45281982421875,293.7937927246094
2018-08-20,300.1559143066406,293.8216247558594
2018-08-21,299.5402526855469,293.1387023925781
2018-08-22,303.0840759277344,291.692626953125
2018-08-23,302.7401123046875,292.4908752441406
2018-08-24,302.32623291015625,293.11566162109375
2018-08-25,304.372802734375,295.1093444824219
2018-08-26,305.3094482421875,292.4776916503906
2018-08-27,303.09637451171875,291.75274658203125
2018-08-28,303.3790588378906,290.3597717285156
2018-08-29,305.9209899902344,292.35516357421875
2018-08-30,306.32159423828125,292.55889892578125
2018-08-31,306.59326171875,292.666259765625
2018-09-01,307.2520751953125,293.8786315917969
2018-09-02,306.19610595703125,294.75811767578125
2018-09-03,308.4338073730469,294.865478515625
2018-09-04,310.0677490234375,296.4593505859375
2018-09-05,311.2095947265625,296.6572265625
2018-09-06,307.70233154296875,295.3094787597656
2018-09-07,304.510498046875,296.01434326171875
2018-09-08,304.748779296875,295.26568603515625
2018-09-09,305.95074462890625,295.2828369140625
2018-09-10,307.4649353027344,296.4077453613281
2018-09-11,306.4331359863281,295.2984313964844
2018-09-12,306.2660827636719,295.01190185546875
2018-09-13,299.0141906738281,294.5834655761719
2018-09-14,301.48529052734375,293.030029296875
2018-09-15,304.32745361328125,291.3892517089844
2018-09-16,305.52581787109375,293.6703186035156
2018-09-17,305.81060791015625,294.9587097167969
2018-09-18,303.1100769042969,295.6625061035156
2018-09-19,304.9010925292969,294.2540283203125
2018-09-20,300.2279357910156,292.9042053222656
2018-09-21,300.6430358886719,293.42236328125
2018-09-22,299.3106384277344,294.6445007324219
2018-09-23,301.6601867675781,292.3485107421875
2018-09-24,302.8397216796875,292.0133972167969
2018-09-25,301.79876708984375,292.3958740234375
2018-09-26,298.1739501953125,289.3180236816406
2018-09-27,297.31134033203125,287.6360778808594
2018-09-28,297.7863464355469,287.29498291015625
2018-09-29,299.2777404785156,289.0017395019531
2018-09-30,302.0955505371094,287.86541748046875
2018-10-01,301.2477722167969,288.5118408203125
2018-10-02,293.56256103515625,288.0175476074219
2018-10-03,293.9595031738281,287.7174987792969
2018-10-04,296.855712890625,287.4183044433594
2018-10-05,296.87310791015625,286.24053955078125
2018-10-06,301.3550720214844,287.1960144042969
2018-10-07,302.7974853515625,287.8393859863281
2018-10-08,303.18798828125,288.63226318359375
2018-10-09,299.9346923828125,290.8734130859375
2018-10-10,300.7801818847656,291.84735107421875
2018-10-11,302.36865234375,291.7051696777344
2018-10-12,300.5181579589844,289.35760498046875
2018-10-13,295.85748291015625,290.48443603515625
2018-10-14,297.58355712890625,289.15911865234375
2018-10-15,302.39892578125,287.6361999511719
2018-10-16,297.0103759765625,289.31341552734375
2018-10-17,293.442138671875,287.48876953125
2018-10-18,297.22906494140625,287.25567626953125
2018-10-19,298.86602783203125,286.36529541015625
2018-10-20,298.4263610839844,288.01953125
2018-10-21,298.77496337890625,289.1869201660156
2018-10-22,295.018798828125,288.2012634277344
2018-10-23,293.4742431640625,287.90277099609375
2018-10-24,295.5849304199219,286.875
2018-10-25,296.9243469238281,287.674072265625
2018-10-26,300.59100341796875,285.550537109375
2018-10-27,300.3908386230469,288.60986328125
2018-10-28,298.9975891113281,292.8541259765625
2018-10-29,296.507080078125,285.5520935058594
2018-10-30,293.83892822265625,283.542236328125
2018-10-31,297.3320617675781,282.32208251953125
2018-11-01,298.584228515625,286.8565368652344
2018-11-02,293.12469482421875,286.4119873046875
2018-11-03,288.99761962890625,284.1628723144531
2018-11-04,291.5746765136719,284.484619140625
2018-11-05,296.31414794921875,281.6927185058594
2018-11-06,293.81329345703125,283.41668701171875
2018-11-07,294.70111083984375,283.3239440917969
2018-11-08,295.32196044921875,281.4181823730469
2018-11-09,296.193603515625,282.571044921875
2018-11-10,290.36163330078125,282.3055725097656
2018-11-11,293.2127685546875,283.0333557128906
2018-11-12,295.66876220703125,282.8301696777344
2018-11-13,296.2014465332031,286.4189758300781
2018-11-14,296.31005859375,285.88018798828125
2018-11-15,294.1924743652344,283.6026916503906
2018-11-16,292.3567199707031,282.5082092285156
2018-11-17,291.2074279785156,284.3052673339844
2018-11-18,292.79962158203125,281.72955322265625
2018-11-19,293.7132873535156,284.4795837402344
2018-11-20,292.3969421386719,282.3115234375
2018-11-21,294.300048828125,282.6132507324219
2018-11-22,296.364990234375,280.5608825683594
2018-11-23,296.64300537109375,281.56707763671875
2018-11-24,291.0684814453125,282.1380920410156
2018-11-25,289.1259460449219,281.8121643066406
2018-11-26,292.7498474121094,282.1675720214844
2018-11-27,287.6001281738281,284.1703796386719
2018-11-28,289.3165283203125,285.5380859375
2018-11-29,290.72021484375,281.1349182128906
2018-11-30,292.63433837890625,278.0091247558594
2018-12-01,287.4125671386719,283.90283203125
2018-12-02,289.00384521484375,281.59912109375
2018-12-03,291.76019287109375,280.70611572265625
2018-12-04,292.5650939941406,283.106201171875
2018-12-05,291.8847961425781,281.3440246582031
2018-12-06,294.2589416503906,279.99383544921875
2018-12-07,290.2533264160156,283.7709045410156
2018-12-08,288.7330627441406,282.76983642578125
2018-12-09,290.22412109375,284.1053466796875
2018-12-10,290.0503234863281,284.9214172363281
2018-12-11,289.3740539550781,279.52728271484375
2018-12-12,289.97479248046875,278.28009033203125
2018-12-13,292.4320068359375,280.7397766113281
2018-12-14,284.63720703125,281.1494140625
2018-12-15,286.6361083984375,283.874267578125
2018-12-16,291.9734802246094,283.742919921875
2018-12-17,288.349609375,283.63922119140625
2018-12-18,288.9144287109375,278.0136413574219
2018-12-19,291.3255615234375,275.923828125
2018-12-20,289.8988342285156,278.12847900390625
2018-12-21,289.20623779296875,279.4635925292969
2018-12-22,289.46893310546875,278.36676025390625
2018-12-23,290.9596862792969,278.5655517578125
2018-12-24,292.37890625,278.0455627441406
2018-12-25,287.8014221191406,281.1128234863281
2018-12-26,287.6692199707031,276.3945617675781
2018-12-27,288.3646240234375,274.097412109375
2018-12-28,287.2651672363281,274.1398620605469
2018-12-29,286.8717041015625,278.4101867675781
2018-12-30,288.281005859375,277.7586364746094
2018-12-31,287.54541015625,280.6380310058594
2019-01-01,288.03875732421875,281.91021728515625
2019-01-02,289.1849670410156,283.864501953125
2019-01-03,286.1875915527344,276.83380126953125
2019-01-04,283.8650817871094,273.9632873535156
2019-01-05,284.6433410644531,275.0545959472656
2019-01-06,286.8504333496094,281.91064453125
2019-01-07,286.5989990234375,281.13494873046875
2019-01-08,286.25634765625,280.4627685546875
2019-01-09,285.2380676269531,282.7227478027344
2019-01-10,282.7900085449219,277.6912536621094
2019-01-11,280.96209716796875,276.6134338378906
2019-01-12,281.46441650390625,276.5734558105469
2019-01-13,284.8019714355469,278.4083557128906
2019-01-14,287.8973693847656,283.7703857421875
2019-01-15,287.915283203125,279.26092529296875
2019-01-16,289.34490966796875,276.9520263671875
2019-01-17,288.67669677734375,276.8830871582031
2019-01-18,288.25518798828125,275.08612060546875
2019-01-19,287.9638366699219,278.40924072265625
2019-01-20,288.39788818359375,276.4934387207031
2019-01-21,288.8424072265625,281.36798095703125
2019-01-22,284.37664794921875,277.0930480957031
2019-01-23,284.52294921875,276.37164306640625
2019-01-24,280.8427429199219,277.3131408691406
2019-01-25,281.5865173339844,279.7808837890625
2019-01-26,284.7459716796875,279.81427001953125
2019-01-27,290.7507019042969,279.2444763183594
2019-01-28,284.48046875,280.0804138183594
2019-01-29,284.207763671875,280.22216796875
2019-01-30,285.034423828125,278.2476501464844
2019-01-31,289.0574951171875,277.11102294921875
2019-02-01,294.1195983886719,283.28985595703125
2019-02-02,287.5609130859375,280.233642578125
2019-02-03,281.9407043457031,278.53045654296875
2019-02-04,282.52191162109375,278.8676452636719
2019-02-05,286.13934326171875,282.2431945800781
2019-02-06,286.7949523925781,282.2170715332031
2019-02-07,287.8780517578125,280.02099609375
2019-02-08,287.8931884765625,278.0081787109375
2019-02-09,289.5780944824219,278.519287109375
2019-02-10,294.5936279296875,276.4539489746094
2019-02-11,288.9275207519531,279.3626403808594
2019-02-12,286.56982421875,278.2406921386719
2019-02-13,286.85638427734375,277.6961669921875
2019-02-14,288.0356140136719,277.3608093261719
2019-02-15,289.1199645996094,274.84344482421875
2019-02-16,287.7061462402344,275.7182312011719
2019-02-17,289.20404052734375,273.5998840332031
2019-02-18,290.1811828613281,275.38690185546875
2019-02-19,290.94183349609375,276.1680603027344
2019-02-20,291.0215759277344,275.0981750488281
2019-02-21,288.3159484863281,275.883056640625
2019-02-22,286.95159912109375,276.7882995605469
2019-02-23,288.0364990234375,278.592041015625
2019-02-24,283.3703308105469,277.9955749511719
2019-02-25,285.06976318359375,277.0473327636719
2019-02-26,284.14794921875,278.7228698730469
2019-02-27,286.7153015136719,275.4839172363281
2019-02-28,288.5279235839844,279.275634765625
2019-03-01,290.06292724609375,278.0157775878906
2019-03-02,288.9515686035156,280.73797607421875
2019-03-03,289.9967956542969,281.00543212890625
2019-03-04,294.2021789550781,277.5809020996094
2019-03-05,295.39093017578125,277.9736633300781
2019-03-06,298.6853332519531,279.2181396484375
2019-03-07,296.2140197753906,283.36334228515625
2019-03-08,292.34307861328125,280.9320373535156
2019-03-09,291.1962890625,279.87176513671875
2019-03-10,292.60748291015625,278.8783874511719
2019-03-11,290.6079406738281,280.5164794921875
2019-03-12,288.38702392578125,278.9441833496094
2019-03-13,294.3437805175781,276.32647705078125
2019-03-14,287.423828125,283.3055114746094
2019-03-15,288.645751953125,283.2053527832031
